"","PSPA_w0","PSPB_w0","PSPC_w0","PSPD_w0","swn_1c","w0_SWN_Quest_2","w0_SWN_Quest_3","swn_4c","w0_SWN_Quest_5","swn_6c","w0_SWN_Quest_7","w0_SWN_Quest_8","swn_9c","swn_10c","swn_11c","swn_12c","w0_SWN_Quest_13","swn_14c","w0_SWN_Quest_15","swn_16c","swn_17c","w0_SWN_Quest_18","w0_SWN_Quest_19","w0_SWN_Quest_20"
"PSPA_w0",0,0.635216838159911,0.195527182294661,0.0587810513347741,0,0,0,0,0,0,0,0,0,0,0,-0.0203066939056332,0,0,0,-0.0252867221850998,0,0,0,0
"PSPB_w0",0.635216838159911,0,0.198614156784391,0.127484117158391,0,0,0,0,0,0,0,0,0,0,0,0,-0.0402188811418029,-0.0332027019902619,0,0,-0.0147043808663763,0,0,0
"PSPC_w0",0.195527182294661,0.198614156784391,0,0.163604501165451,0,0.00979672109192992,0,-0.0166574372169021,0,0,0,0,0,0,0,0,0,-0.00225292471188445,0,0,-0.0209373017701932,-0.00114395978014019,0,0
"PSPD_w0",0.0587810513347741,0.127484117158391,0.163604501165451,0,0,0,-0.0106675236281687,0.00814609189210747,0,0,0.0413978312035684,-0.0427428589214778,0,0,0,0,0,-0.0459800198574129,0,0,0,0,0,0.00959373000128323
"swn_1c",0,0,0,0,0,0,0,0.167444995031265,0,0.139091541298975,0,0,0.211389435859122,0,0.122294341457043,0.0282800425986708,0,0.0368499128062775,0,0.0156813769200047,0.171119510853011,0,0,0.0679433675632736
"w0_SWN_Quest_2",0,0,0.00979672109192992,0,0,0,0.224706174003784,0,0.348129682636051,-0.0258505632113258,0,0.0401639548655471,0.0991252444519005,0,0,0,0,0,0,0.0336086644296712,0,0,0,0.148187758218323
"w0_SWN_Quest_3",0,0,0,-0.0106675236281687,0,0.224706174003784,0,0,0.174349508766936,0,0.0410704789703237,0.101433876288766,0,0,0,0.0306943263085697,0.100822097961191,0,0.128103863252191,0,0.0337983317743259,0.018021988495273,0.0723656845024249,0
"swn_4c",0,0,-0.0166574372169021,0.00814609189210747,0.167444995031265,0,0,0,0,0.0826669209650428,0.0568569901884401,0,0.0501310632097894,0.199135113300156,0,0.08171092618229,0,0,-0.0161709604793202,0.107783601484107,0,0,0,0.0822480277771021
"w0_SWN_Quest_5",0,0,0,0,0,0.348129682636051,0.174349508766936,0,0,-0.0806707746817963,0.0371084464269614,0.119757402616192,0,0,0.0356633603785669,0,0,0,0.129962317694253,0.0387642480442657,0,0.0582123178519119,0.0215098509294716,0.0236911540340274
"swn_6c",0,0,0,0,0.139091541298975,-0.0258505632113258,0,0.0826669209650428,-0.0806707746817963,0,0,0,0,0.0301591177142552,0.0863299783844268,0.130860658770575,0.097594866123523,0.0973699198541952,0,0,0.0369897117213076,0,0.0123025482423419,0
"w0_SWN_Quest_7",0,0,0,0.0413978312035684,0,0,0.0410704789703237,0.0568569901884401,0.0371084464269614,0,0,0.102782343392265,-0.00033349721240329,0,0.0179813003351629,0,0.0292449998148623,-0.087840478284881,0,0,0,0.101628658366225,0.047499768798747,0.200629285674118
"w0_SWN_Quest_8",0,0,0,-0.0427428589214778,0,0.0401639548655471,0.101433876288766,0,0.119757402616192,0,0.102782343392265,0,0,0,0,0,0.201227662739972,0.0202983915874284,0.0276449649615649,0,0,0.0248971873633584,0.0280919023170455,0.102440303278865
"swn_9c",0,0,0,0,0.211389435859122,0.0991252444519005,0,0.0501310632097894,0,0,-0.00033349721240329,0,0,0.190318952242835,0.0554761521335224,0.0365982043272945,0,0.022328340104007,-0.0183891923218924,0.202530367113062,0.105960954632486,-0.0184974136463879,0,0
"swn_10c",0,0,0,0,0,0,0,0.199135113300156,0,0.0301591177142552,0,0,0.190318952242835,0,0.116244153810876,0.131248627346896,0,0.0711871209231858,0,0.0303804337399195,0.106814151516406,0,0,0.0162722593843472
"swn_11c",0,0,0,0,0.122294341457043,0,0,0,0.0356633603785669,0.0863299783844268,0.0179813003351629,0,0.0554761521335224,0.116244153810876,0,0.213799426608652,0,0.00174925813459941,0,0.068246278964179,0.222081639526653,0,0.0158549451714215,0.0151240497378688
"swn_12c",-0.0203066939056332,0,0,0,0.0282800425986708,0,0.0306943263085697,0.08171092618229,0,0.130860658770575,0,0,0.0365982043272945,0.131248627346896,0.213799426608652,0,0,0.151232134157752,0,0.0366434941950558,0.192423786703113,0,0.0104321878686642,0
"w0_SWN_Quest_13",0,-0.0402188811418029,0,0,0,0,0.100822097961191,0,0,0.097594866123523,0.0292449998148623,0.201227662739972,0,0,0,0,0,0,0.202073518095669,0,0.00127870370243353,0.100697696966503,0.0868877796621921,0.137776940290259
"swn_14c",0,-0.0332027019902619,-0.00225292471188445,-0.0459800198574129,0.0368499128062775,0,0,0,0,0.0973699198541952,-0.087840478284881,0.0202983915874284,0.022328340104007,0.0711871209231858,0.00174925813459941,0.151232134157752,0,0,0.0163721057031416,0.16353168310374,0.127847451980282,-0.00591441259003231,0,0
"w0_SWN_Quest_15",0,0,0,0,0,0,0.128103863252191,-0.0161709604793202,0.129962317694253,0,0,0.0276449649615649,-0.0183891923218924,0,0,0,0.202073518095669,0.0163721057031416,0,0,0,0.0351646329748762,0.25485081281821,0.0330136369818452
"swn_16c",-0.0252867221850998,0,0,0,0.0156813769200047,0.0336086644296712,0,0.107783601484107,0.0387642480442657,0,0,0,0.202530367113062,0.0303804337399195,0.068246278964179,0.0366434941950558,0,0.16353168310374,0,0,0.142926440711184,-0.0723550154157017,0,0
"swn_17c",0,-0.0147043808663763,-0.0209373017701932,0,0.171119510853011,0,0.0337983317743259,0,0,0.0369897117213076,0,0,0.105960954632486,0.106814151516406,0.222081639526653,0.192423786703113,0.00127870370243353,0.127847451980282,0,0.142926440711184,0,0,0.0145651530814961,0.0323660344016988
"w0_SWN_Quest_18",0,0,-0.00114395978014019,0,0,0,0.018021988495273,0,0.0582123178519119,0,0.101628658366225,0.0248971873633584,-0.0184974136463879,0,0,0,0.100697696966503,-0.00591441259003231,0.0351646329748762,-0.0723550154157017,0,0,0.284418571047702,0.0750504910737956
"w0_SWN_Quest_19",0,0,0,0,0,0,0.0723656845024249,0,0.0215098509294716,0.0123025482423419,0.047499768798747,0.0280919023170455,0,0,0.0158549451714215,0.0104321878686642,0.0868877796621921,0,0.25485081281821,0,0.0145651530814961,0.284418571047702,0,0.22026671272542
"w0_SWN_Quest_20",0,0,0,0.00959373000128323,0.0679433675632736,0.148187758218323,0,0.0822480277771021,0.0236911540340274,0,0.200629285674118,0.102440303278865,0,0.0162722593843472,0.0151240497378688,0,0.137776940290259,0,0.0330136369818452,0,0.0323660344016988,0.0750504910737956,0.22026671272542,0
